company_name,company_name_alt,is_own,listing_type,revenue_2025_mkrw,revenue_2024_mkrw,revenue_yoy_pct,op_income_2025_mkrw,op_income_2024_mkrw,op_income_yoy_pct,op_margin_2025_pct,op_status_note,fiscal_note,notes
영원무역홀딩스,,false,listed,4895010,4306038,13.7,735475,517045,42.2,15.0,,,영원무역·영원아웃도어 포함
미스토홀딩스,휠라홀딩스,false,listed,4468646,4268743,4.7,474781,360804,31.6,10.6,,,휠라·아쿠쉬네트 부문 포함
삼성물산(패션부문),,false,listed,2019620,2004233,0.8,123083,170467,-27.8,6.1,,,
한세실업,,false,listed,1941777,1797796,8.0,83416,142198,-41.3,4.3,,,
F&F홀딩스,,false,listed,1933801,1898302,1.9,434195,416367,4.3,22.5,,,F&F 실적 포함
LF,,false,listed,1882430,1956268,-3.8,168111,126140,33.3,8.9,,,
에이피알,,false,listed,1527345,722753,111.3,365521,122706,197.9,23.9,,,
한섬,,false,listed,1491764,1485264,0.4,52179,63472,-17.8,3.5,,,
신성통상,,false,listed,1476972,1507869,-2.0,74488,121792,-38.8,5.0,,6월 말 결산법인,
코오롱인더스트리(FnC부문),,false,listed,1188745,1233258,-3.6,3600,21593,-83.3,0.3,,,
신세계인터내셔날,,false,listed,1109969,1073588,3.4,-11496,7241,-258.8,-1.0,적자전환,,
신원,,false,listed,1092254,939537,16.3,18779,25318,-25.8,1.7,,,
TP,구 태평양물산,false,listed,1028989,1064151,-3.3,62006,48932,26.7,6.0,,,
폰드그룹,,false,listed,485569,368653,31.7,57377,41323,38.9,11.8,,,
더네이쳐홀딩스,,false,listed,477522,516897,-7.6,6968,30094,-76.8,1.5,,,
크리스에프앤씨,,false,listed,311945,331280,-5.8,-4727,12139,-138.9,-1.5,적자전환,,
젝시믹스,구 브랜드엑스코퍼레이션,false,listed,274097,271594,0.9,17349,24899,-30.3,6.3,,,
웰크론,,false,listed,268960,329117,-18.3,-11118,2172,-611.9,-4.1,적자전환,,
감성코퍼레이션,,false,listed,250195,220397,13.5,44631,36053,23.8,17.8,,,
한세엠케이,,false,listed,248888,245074,1.6,-12139,-17629,31.1,-4.9,적자지속,,
대현,,false,listed,240544,259285,-7.2,7078,14373,-50.8,2.9,,,
비비안,,false,listed,222445,221743,0.3,-4642,614,-856.0,-2.1,적자전환,,
그리티,,false,listed,201718,194740,3.6,7853,12310,-36.2,3.9,,,
아가방컴퍼니,,false,listed,189078,182743,3.5,13987,15206,-8.0,7.4,,,
신영와코루,,false,listed,185155,196678,-5.9,1289,2756,-53.2,0.7,,,
티비에이치글로벌,,false,listed,182419,178465,2.2,3150,3360,-6.3,1.7,,,
형지엘리트,,false,listed,166650,132748,25.5,6641,7009,-5.3,4.0,,6월 말 결산법인,
에스제이그룹,,false,listed,163414,181795,-10.1,-15863,-3238,-389.9,-9.7,적자지속,,
BYC,,false,listed,163167,165208,-1.2,26574,23833,11.5,16.3,,,
SG세계물산,,false,listed,132348,138802,-4.6,-1516,-2757,45.0,-1.1,적자지속,,
LS네트웍스(패션부문),,false,listed,113195,150071,-24.6,-16364,-13634,-20.0,-14.5,적자지속,,
패션플랫폼,,false,listed,106300,104601,1.6,8363,1656,405.0,7.9,,,
인디에프,,false,listed,104591,114738,-8.8,1191,-827,244.0,1.1,,,
쌍방울,,false,listed,91612,91990,-0.4,-2455,-2290,-7.2,-2.7,적자지속,,
지엔코,,false,listed,76647,84061,-8.8,-99,-2121,95.3,-0.1,적자지속,,
좋은사람들,,false,listed,72599,90184,-19.5,-6083,1297,-569.0,-8.4,적자전환,,
제이에스티나,,false,listed,72242,74434,-2.9,706,-2603,127.1,1.0,,,
에스티오,,false,listed,71506,70233,1.8,-1555,285,-645.6,-2.2,적자전환,,
제로투세븐,,false,listed,70955,66894,6.1,2516,1526,64.9,3.5,,,
에이유브랜즈,,false,listed,60009,44601,34.5,10081,12429,-18.9,16.8,,2025년 4월 상장,
배럴,,false,listed,59193,64446,-8.2,6645,9080,-26.8,11.2,,,
형지I&C,,false,listed,50809,56747,-10.5,-7045,-5019,-40.4,-13.9,적자지속,,
메디앙스,,false,listed,48762,46508,4.8,69,-7331,100.9,0.1,,,
토박스코리아,,false,listed,39700,44151,-10.1,4,1724,-99.8,0.0,,,
진도,,false,listed,47608,44153,7.8,3983,1144,248.2,8.4,,,
코데즈컴바인,,false,listed,39723,39601,0.3,2416,1059,128.1,6.1,,,
형지글로벌,구 까스텔바작,false,listed,37683,39800,-5.3,-8085,-9386,13.9,-21.5,적자지속,,
원풍물산,,false,listed,16935,22722,-25.5,-7199,-4699,-53.2,-42.5,적자지속,,
데코앤에프,,false,listed,14098,26308,-46.4,1170,-7447,115.7,8.3,,,
이랜드월드,,false,unlisted,5543376,5451983,1.7,333323,271346,22.8,6.0,,,
나이키코리아,,false,unlisted,1891306,2004975,-5.7,37826,39465,-4.2,2.0,,5월 결산법인,
무신사,,false,unlisted,1467883,1242727,18.1,140488,102818,36.6,9.6,,,
파크랜드,,false,unlisted,904048,851361,6.2,30264,41313,-26.7,3.3,,,
데상트코리아,,false,unlisted,542956,535034,1.5,33001,37204,-11.3,6.1,,,
에이션패션,,false,unlisted,385040,405589,-5.1,30561,49809,-38.6,7.9,,6월 결산법인,
케이투코리아,,false,unlisted,367410,374348,-1.9,48914,54478,-10.2,13.3,,,
동일라코스테,,false,unlisted,311018,300554,3.5,21654,23062,-6.1,7.0,,,
인동에프엔,,false,unlisted,304050,301497,0.8,28727,35823,-19.8,9.4,,,
안다르,,false,unlisted,298658,236787,26.1,28503,32766,-13.0,9.5,,,
BYN블랙야크,,false,unlisted,291745,297836,-2.0,-6438,-4097,-57.1,-2.2,적자지속,,
네파,,false,unlisted,288759,297313,-2.9,-2148,-765,-180.8,-0.7,적자지속,,
하이라이트브랜즈,,false,unlisted,283998,248741,14.2,36988,37044,-0.2,13.0,,,
비케이브,,true,unlisted,274342,318860,-14.0,3224,20005,-83.9,1.2,,,B.CAVE 자사 — 자사 처리 필요
세정,,false,unlisted,265209,290789,-8.8,3347,-3504,195.5,1.3,,,
패션그룹형지,,false,unlisted,252467,301095,-16.2,17751,4734,275.0,7.0,,,
바바패션,,false,unlisted,232109,242575,-4.3,9325,12606,-26.0,4.0,,,
아이더,,false,unlisted,223185,233854,-4.6,16456,14132,16.4,7.4,,,
피브이에이치코리아,,false,unlisted,209490,199435,5.0,18219,12625,44.3,8.7,,1월 결산법인,
서양네트웍스,,false,unlisted,206554,194896,6.0,5144,10328,-50.2,2.5,,,
레이어,,false,unlisted,191943,150685,27.4,39496,33457,18.1,20.6,,,
한성에프아이,,false,unlisted,189658,204685,-7.3,-2077,-6499,68.0,-1.1,적자지속,,
시선인터내셔널,,false,unlisted,183640,179051,2.6,8667,6874,26.1,4.7,,,
골든듀,,false,unlisted,170974,164732,3.8,8556,8062,6.1,5.0,,,
베네통코리아,,false,unlisted,168627,169348,-0.4,804,5922,-86.4,0.5,,,
다이나핏코리아,,false,unlisted,164866,148826,10.8,-8898,-3460,-157.2,-5.4,적자지속,,
위비스,,false,unlisted,163155,165377,-1.3,-2438,6860,-135.5,-1.5,적자전환,,
제이씨패밀리,,false,unlisted,160662,171335,-6.2,-12992,-6867,-89.2,-8.1,적자지속,,
브이엘엔코,,false,unlisted,158037,168604,-6.3,24244,26292,-7.8,15.3,,,
푸마코리아,,false,unlisted,150853,147298,2.4,6674,6614,0.9,4.4,,,
한국캘러웨이골프,,false,unlisted,146071,152228,-4.0,3982,1521,161.8,2.7,,,
케이투세이프티,,false,unlisted,144538,145655,-0.8,36692,39758,-7.7,25.4,,,
마뗑킴,,false,unlisted,135683,128788,5.4,36847,38667,-4.7,27.2,,,
더캐리,,false,unlisted,131987,133657,-1.2,1730,5560,-68.9,1.3,,,
지오다노,,false,unlisted,131955,147825,-10.7,-2242,5151,-143.5,-1.7,적자전환,,
독립문,,false,unlisted,130754,121963,7.2,-16327,-10421,-56.7,-12.5,적자지속,,
아이디룩,,false,unlisted,127196,135527,-6.1,2088,3147,-33.7,1.6,,,
알레르망,이덕아이앤씨,false,unlisted,123604,129574,-4.6,26922,26579,1.3,21.8,,,
하이드어웨이,,false,unlisted,121153,149464,-18.9,11772,24881,-52.7,9.7,,,
피스피스스튜디오,,false,unlisted,117880,113777,3.6,16726,28158,-40.6,14.2,,,
컬럼비아스포츠웨어코리아,,false,unlisted,116369,113969,2.1,-6163,-5554,-11.0,-5.3,적자지속,,
에스제이듀코,,false,unlisted,110328,111003,-0.6,-3963,-4164,4.8,-3.6,적자지속,,
우림에프엠지,,false,unlisted,110007,112045,-1.8,3632,5631,-35.5,3.3,,,
메디쿼터스,,false,unlisted,100040,84648,18.2,-4899,-15408,68.2,-4.9,적자지속,,
탠디,,false,unlisted,95472,102852,-7.2,4658,1401,232.5,4.9,,,
제이엔지코리아,,false,unlisted,93186,102767,-9.3,825,-109,856.9,0.9,,,
로저나인,,false,unlisted,85065,89087,-4.5,9654,14580,-33.8,11.3,,,
레드페이스,,false,unlisted,79168,85930,-7.9,-345,287,-220.2,-0.4,적자전환,,
원더플레이스,,false,unlisted,71824,87118,-17.6,-2187,-3680,40.6,-3.0,적자지속,,
